Category,Distance,Angle,Dissimilarity,Correlation,Contrast,Energy,Homogeneity,ASM
blat,5,135.0,0.1713668699186991,0.583526453429106,0.1717479674796747,0.6730497338759962,0.9143546747967478,0.4529959442705493
blat,1,0.0,0.0518577755905511,0.8658398687996566,0.0518577755905511,0.751439756407292,0.9740711122047244,0.5646617075094503
blat,1,45.0,0.0815301630603261,0.7880126984047148,0.0816541633083266,0.7350992141808188,0.959247318494637,0.5403708546892573
blat,1,90.0,0.0607160433070866,0.8419045196533949,0.0608390748031496,0.7473748029068332,0.969654281496063,0.5585690960200278
blat,1,135.0,0.0518577755905511,0.8658398687996566,0.0518577755905511,0.751439756407292,0.9740711122047244,0.5646617075094503
blat,3,0.0,0.125125,0.6752252554212993,0.125625,0.7101949941301333,0.9374875,0.5043769296875
blat,3,45.0,0.157015873015873,0.5886643545818899,0.1575238095238095,0.6966429511310254,0.9215428571428572,0.4853114013605442
blat,3,90.0,0.1459527559055118,0.6175097554388327,0.1463307086614173,0.7023781418339471,0.9270614173228346,0.4933350541261083
blat,3,135.0,0.125125,0.6752252554212993,0.125625,0.7101949941301333,0.9374875,0.5043769296875
blat,5,0.0,0.164380081300813,0.5727862422688188,0.1648882113821138,0.6908732844832182,0.9178607723577236,0.4773058952126296
blat,5,45.0,0.1838064516129032,0.5172231290561997,0.1843225806451612,0.6846872410861323,0.9081483870967744,0.4687966181061395
blat,5,90.0,0.1717869943676395,0.548467345601966,0.1722990271377368,0.690476107415623,0.91415770609319,0.4767572549118311
blat,5,135.0,0.164380081300813,0.5727862422688188,0.1648882113821138,0.6908732844832182,0.9178607723577236,0.4773058952126296
blat,1,0.0,0.0374015748031496,0.8870537194566792,0.0374015748031496,0.8176417618365321,0.9812992125984252,0.6685380506991484
blat,1,45.0,0.0593341186682373,0.82054052201364,0.0593341186682373,0.8057999444859778,0.9703329406658814,0.6493135505336048
blat,1,90.0,0.0439837598425196,0.8658313379495873,0.0441067913385826,0.8143602564397252,0.9780204232283464,0.663182627268575
blat,1,135.0,0.0374015748031496,0.8870537194566792,0.0374015748031496,0.8176417618365321,0.9812992125984252,0.6685380506991484
blat,3,0.0,0.0906875,0.7257621262620036,0.0918125,0.7887557175902119,0.9547687500000002,0.6221355820312502
blat,3,45.0,0.1159999999999999,0.6432393744302254,0.1181587301587301,0.7760622038327125,0.9422158730158728,0.6022725442176866
blat,3,90.0,0.113511811023622,0.6446308025392679,0.1170393700787401,0.777627319479258,0.9435968503937008,0.604704248000496
blat,3,135.0,0.0906875,0.7257621262620036,0.0918125,0.7887557175902119,0.9547687500000002,0.6221355820312502
blat,5,0.0,0.1237931910569105,0.6272436501399434,0.1260797764227642,0.7699783873079332,0.93833206300813,0.5928667169213256
blat,5,45.0,0.1412258064516129,0.5663447607659208,0.1441935483870967,0.7625148680763285,0.9296838709677416,0.5814289240374607
blat,5,90.0,0.1421530977982591,0.5582369912263464,0.146121351766513,0.76271530470722,0.929320276497696,0.5817346360346275
blat,5,135.0,0.1237931910569105,0.6272436501399434,0.1260797764227642,0.7699783873079332,0.93833206300813,0.5928667169213256
blat,1,0.0,0.0231299212598425,0.929576460940918,0.0231299212598425,0.8343514091055068,0.9884350393700788,0.6961422738763446
blat,1,45.0,0.0385640771281542,0.8816365240633773,0.0385640771281542,0.8283349150966545,0.9807179614359228,0.6861387315681818
blat,1,90.0,0.0285433070866141,0.912685286883987,0.0285433070866141,0.8328395077481273,0.9857283464566932,0.693621645666143
blat,1,135.0,0.0231299212598425,0.929576460940918,0.0231299212598425,0.8343514091055068,0.9884350393700788,0.6961422738763446
blat,3,0.0,0.062125,0.8088358401960525,0.0623749999999999,0.8159516204255005,0.9689625,0.6657770468750001
blat,3,45.0,0.0753015873015873,0.7639550824320485,0.0753015873015873,0.8140082351570542,0.9623492063492064,0.6626094069035021
blat,3,90.0,0.0723149606299212,0.7744044398523331,0.0723149606299212,0.8145804966845028,0.9638425196850396,0.6635413855787713
blat,3,135.0,0.062125,0.8088358401960525,0.0623749999999999,0.8159516204255005,0.9689625,0.6657770468750001
blat,5,0.0,0.0889862804878048,0.7228052397243395,0.089748475609756,0.8044616005299209,0.9555830792682928,0.647158466727162
blat,5,45.0,0.0878064516129032,0.7206175882009309,0.0879354838709677,0.8096459317871741,0.9561096774193548,0.6555265348595214
blat,5,90.0,0.0889016897081413,0.7190669061470198,0.0890296979006656,0.8079656055673586,0.955561955965182,0.6528084197798286
blat,5,135.0,0.0889862804878048,0.7228052397243395,0.089748475609756,0.8044616005299209,0.9555830792682928,0.647158466727162
blat,1,0.0,0.0140255905511811,0.8075955287624226,0.014271653543307,0.9608774256570192,0.993011811023622,0.9232854271372606
blat,1,45.0,0.0207080414160828,0.7230035336924546,0.0207080414160828,0.9570874517419488,0.9896459792919586,0.9160163902818972
blat,1,90.0,0.0156249999999999,0.7890835688119864,0.0157480314960629,0.9596462460013032,0.9921998031496062,0.9209209174643936
blat,1,135.0,0.0140255905511811,0.8075955287624226,0.014271653543307,0.9608774256570192,0.993011811023622,0.9232854271372606
blat,3,0.0,0.0336875,0.4819400747886249,0.0386875,0.9517515011398064,0.98365625,0.905830919921875
blat,3,45.0,0.0406349206349206,0.4299128882762614,0.0434285714285714,0.9471579022057296,0.9799619047619048,0.8971080917107586
blat,3,90.0,0.0409448818897637,0.381317558644163,0.0469921259842519,0.9478190129944444,0.9801056044465032,0.8983608813937629
blat,3,135.0,0.0336875,0.4819400747886249,0.0386875,0.9517515011398064,0.98365625,0.905830919921875
blat,5,0.0,0.0442073170731707,0.3098951796016798,0.0511941056910569,0.9468884428077105,0.9785860533237684,0.8965977231228105
blat,5,45.0,0.0476774193548387,0.3212465488960179,0.0523225806451612,0.9435129025585632,0.9766258064516128,0.890216597294485
blat,5,90.0,0.0485151049667178,0.2665536891456654,0.0563236047107015,0.9438930256360336,0.9764961898737992,0.8909340438443463
blat,5,135.0,0.0442073170731707,0.3098951796016798,0.0511941056910569,0.9468884428077105,0.9785860533237684,0.8965977231228105
blat,1,0.0,0.0642224409448818,0.8775760919370419,0.0642224409448818,0.6621360635422716,0.9678887795275593,0.4384241666432551
blat,1,45.0,0.0909541819083638,0.826411816162266,0.0909541819083638,0.6452367902796592,0.954522909045818,0.4163305155303968
blat,1,90.0,0.062130905511811,0.8813513643238858,0.062130905511811,0.6636798809181452,0.9689345472440944,0.4404709843355234
blat,1,135.0,0.0642224409448818,0.8775760919370419,0.0642224409448818,0.6621360635422716,0.9678887795275593,0.4384241666432551
blat,3,0.0,0.1545625,0.7028564121106972,0.1560625,0.6078095935020481,0.92286875,0.369432501953125
blat,3,45.0,0.1716825396825396,0.6701110323604443,0.172063492063492,0.597832060521643,0.9141968253968252,0.3574031725875533
blat,3,90.0,0.1565354330708661,0.6973103162250174,0.1577952755905511,0.6064712908480113,0.9218582677165352,0.3678074266228532
blat,3,135.0,0.1545625,0.7028564121106972,0.1560625,0.6078095935020481,0.92286875,0.369432501953125
blat,5,0.0,0.2026168699186992,0.6059408461879929,0.2071900406504065,0.5824536243941408,0.8991488821138213,0.3392522245698709
blat,5,45.0,0.2094193548387097,0.5964610343477545,0.2103225806451613,0.5780626818087257,0.8953806451612905,0.334156464099896
blat,5,90.0,0.1881720430107526,0.635328345107929,0.1899641577060931,0.5893076464206106,0.9060931899641576,0.3472835021297994
blat,5,135.0,0.2026168699186992,0.6059408461879929,0.2071900406504065,0.5824536243941408,0.8991488821138213,0.3392522245698709
blat,1,0.0,0.0263287401574803,0.87188339022091,0.0263287401574803,0.8828221124530652,0.9868356299212598,0.7793748822360924
blat,1,45.0,0.0478020956041912,0.7669850153472695,0.0478020956041912,0.8725069624527664,0.9760989521979044,0.7612683995285531
blat,1,90.0,0.0331569881889763,0.8374841400914865,0.0331569881889763,0.8806766484386205,0.9834215059055118,0.7755913591050816
blat,1,135.0,0.0263287401574803,0.87188339022091,0.0263287401574803,0.8828221124530652,0.9868356299212598,0.7793748822360924
blat,3,0.0,0.06925,0.664463906409569,0.0695,0.8603417198997152,0.9654,0.740187875
blat,3,45.0,0.1008888888888889,0.4986434114171617,0.103047619047619,0.8464228191709526,0.9497714285714284,0.7164315888133032
blat,3,90.0,0.080503937007874,0.5963954330118796,0.0825196850393701,0.8568653763413169,0.9599496062992128,0.7342182731725465
blat,3,135.0,0.06925,0.664463906409569,0.0695,0.8603417198997152,0.9654,0.740187875
blat,5,0.0,0.0986407520325203,0.5202251566581358,0.0996570121951219,0.8457599904985597,0.95078125,0.7153099615281238
blat,5,45.0,0.1230967741935483,0.3864709206542688,0.1263225806451612,0.8360599197342592,0.938774193548387,0.698996189386056
blat,5,90.0,0.0976062467997951,0.5095223179218575,0.1005504352278545,0.8483696797284229,0.9514912954429084,0.719731113482507
blat,5,135.0,0.0986407520325203,0.5202251566581358,0.0996570121951219,0.8457599904985597,0.95078125,0.7153099615281238
blat,1,0.0,0.0705585629921259,0.8611424724707838,0.0717888779527559,0.8036407328402895,0.96484375,0.6458384274800776
blat,1,45.0,0.1031062062124124,0.7902084596699801,0.1078182156364312,0.7897906767053894,0.9489180978361956,0.6237693130107569
blat,1,90.0,0.0763410433070866,0.8473970437998551,0.0783095472440944,0.8011479408429907,0.9620263287401576,0.6418380231169641
blat,1,135.0,0.0705585629921259,0.8611424724707838,0.0717888779527559,0.8036407328402895,0.96484375,0.6458384274800776
blat,3,0.0,0.162,0.6467455957718978,0.183875,0.765223384460381,0.9211433823529412,0.5855668281249999
blat,3,45.0,0.1846349206349206,0.5802468659634008,0.2140952380952381,0.7582052484589032,0.9105658263305322,0.5748751987906272
blat,3,90.0,0.1702047244094488,0.6155992804427253,0.1954015748031495,0.7633052392154638,0.9172880322086436,0.5826348882137764
blat,3,135.0,0.162,0.6467455957718978,0.183875,0.765223384460381,0.9211433823529412,0.5855668281249999
blat,5,0.0,0.2067454268292683,0.5274131626178481,0.2481580284552846,0.7479300976739902,0.900660942730751,0.5593994310066245
blat,5,45.0,0.2024516129032257,0.5375879198483332,0.2356129032258064,0.7508151726737875,0.9020265654648956,0.5637234235171694
blat,5,90.0,0.1927163338453661,0.5670956904024375,0.2194700460829493,0.754729120811378,0.9062039083623528,0.5696160458007156
blat,5,135.0,0.2067454268292683,0.5274131626178481,0.2481580284552846,0.7479300976739902,0.900660942730751,0.5593994310066245
blat,1,0.0,0.0482898622047244,0.8840746541400162,0.0482898622047244,0.748739127433291,0.9758550688976378,0.560610280949566
blat,1,45.0,0.0809101618203236,0.8060563546667432,0.0810341620683241,0.7297436560855355,0.9595573191146384,0.5325258035970843
blat,1,90.0,0.061884842519685,0.8521664948643258,0.061884842519685,0.7406125375350433,0.9690575787401576,0.548506930754096
blat,1,135.0,0.0482898622047244,0.8840746541400162,0.0482898622047244,0.748739127433291,0.9758550688976378,0.560610280949566
blat,3,0.0,0.1196875,0.7103624870496491,0.1204374999999999,0.7091873168568549,0.94023125,0.502946650390625
blat,3,45.0,0.1584126984126984,0.620135919739069,0.1595555555555555,0.6880007998026605,0.9209079365079365,0.4733451005291005
blat,3,90.0,0.1529448818897637,0.6323138975866046,0.1545826771653543,0.6910296556559421,0.9236913385826772,0.47752198499597
blat,3,135.0,0.1196875,0.7103624870496491,0.1204374999999999,0.7091873168568549,0.94023125,0.502946650390625
blat,5,0.0,0.164697662601626,0.5972123236538903,0.166603150406504,0.6864548313379182,0.9178417174796748,0.4712202354671697
blat,5,45.0,0.1840645161290322,0.5571547675182688,0.1863870967741935,0.6749789328812469,0.9082,0.4555965598335067
blat,5,90.0,0.1827956989247311,0.5609517041973977,0.1849718381976446,0.6759459470273553,0.9088197644649256,0.4569029233027082
blat,5,135.0,0.164697662601626,0.5972123236538903,0.166603150406504,0.6864548313379182,0.9178417174796748,0.4712202354671697
blat,1,0.0,0.053826279527559,0.9053154961192248,0.053826279527559,0.6660450219597417,0.9730868602362206,0.4436159712773528
blat,1,45.0,0.0961001922003843,0.8307964823048605,0.0962241924483848,0.6402995725272119,0.9519623039246076,0.4099835425785302
blat,1,90.0,0.0688976377952756,0.8792890189163264,0.0690206692913385,0.6562230661251929,0.9655634842519686,0.4306287125147492
